GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
exercice7,com.example,RecuCommande,0,15,0,0,0,1,0,1,0,1
exercice7,com.example,Produit,0,15,0,0,0,1,0,1,0,1
exercice7,com.example,ProfilClient,0,35,0,0,0,8,0,3,0,3
exercice7,com.example,Commande,0,12,0,0,0,1,0,1,0,1
exercice7,com.example,StockInsuffisantException,0,7,0,0,0,2,0,1,0,1
exercice7,com.example,ProduitInconnuException,0,5,0,0,0,2,0,1,0,1
exercice7,com.example,ServiceCommande,0,63,0,4,0,15,0,4,0,2
